"회사명","산업단지명","대표업종","생산품","원자재","groups","공장규모","공장규모가중치","종업원수","도로명주소","지번주소","위도","경도","소분류","소분류항목명","중분류","중분류항목명","세탁소와거리","수주업체명","공장별세탁량"
"(유)포엠테크",NA,30399,"기계",NA,"GSN","소기업",3,20,"경상남도 김해시 유하로133번길 31-25 (유하동)","경상남도 김해시 유하동 608-1",35.2513186241,128.6038787867,303,"자동차 신품 부품 제조업",30,"자동차 및 트레일러 제조업",21161.6150678496,NA,0
"(자)동일콘크리트",NA,23325,"콘크리트제품",NA,"GSN","소기업",3,7,"경상남도 김해시 상동면 소락로 159","경상남도 김해시 상동면 묵방리 505",35.2466672638,128.6267253342,233,"시멘트, 석회, 플라스터 및 그 제품 제조업",23,"비금속 광물제품 제조업",19022.7991389941,NA,0
"(주) 에어앤코리아",NA,29172,"공기조화장치","공기조화기","GSN","소기업",3,4,"경상남도 김해시 한림면 안곡로448번길 29-4","경상남도 김해시 한림면 안곡리 195",35.2274946527,128.8053778892,291,"일반 목적용 기계 제조업",29,"기타 기계 및 장비 제조업",2787.70519826537,NA,0
"(주)CS코리아",NA,25119,"컨테이너","금속","GSN","소기업",3,3,"경상남도 김해시 생림면 생림대로950번길 16","경상남도 김해시 생림면 봉림리 934-0",35.3050737973,128.5140486235,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",25,"금속 가공제품 제조업; 기계 및 가구 제외",30613.2157032608,NA,0
"(주)DCF TREK","김해나전농공단지",30331,"자동차부품(크랑크)","LINK.PIN.CRANKSHANT.ROLLER","GSN","중기업",2,55,"경상남도 김해시 생림면 나전리 681","경상남도 김해시 생림면 나전리 681",35.3031319942,128.782848076,303,"자동차 신품 부품 제조업",30,"자동차 및 트레일러 제조업",10724.4851580457,NA,0
"(주)DCF TREK 제2공장",NA,29142,"LINK ASSY(중장비부품)",NA,"GSN","소기업",3,19,"경상남도 김해시 생림면 나전로 196-11","경상남도 김해시 생림면 나전리 649",35.2115756036,128.6362907147,291,"일반 목적용 기계 제조업",29,"기타 기계 및 장비 제조업",17840.6597351827,NA,0
"(주)DSB엘디엘",NA,31114,"선박구성품외",NA,"GSN","소기업",3,6,"경상남도 김해시 진영읍 서부로378번길 29","경상남도 김해시 진영읍 의전리 449-3",35.2214092462,128.8216318164,311,"선박 및 보트 건조업",31,"기타 운송장비 제조업",1172.6412675331,NA,0
"(주)HDS ENG",NA,25113,"금속구조재",NA,"GSN","소기업",3,5,"경상남도 김해시 진영읍 하계로 262-25","경상남도 김해시 진영읍 하계리 97-1",35.3205527561,128.756079109,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",25,"금속 가공제품 제조업; 기계 및 가구 제외",13571.7986771755,NA,0
"(주)HDS ENG-2공장",NA,25113,"조립구조재",NA,"GSN","소기업",3,5,"경상남도 김해시 진영읍 하계리 97-2","경상남도 김해시 진영읍 하계리 97-2",35.2406906326,128.5859985168,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",25,"금속 가공제품 제조업; 기계 및 가구 제외",22586.6301192132,NA,0
"(주)HKM",NA,24212,"알류미늄합금괴","폐알류미늄스크랩","GSN","소기업",3,7,"경상남도 김해시 상동면 묵방로120번길 20","경상남도 김해시 상동면 우계리 104-1",35.258208585,128.8171457293,242,"1차 비철금속 제조업",24,"1차 금속 제조업",4948.63864161504,NA,0
"(주)HOT메탈",NA,25912,"선박부품",NA,"GSN","소기업",3,8,"경상남도 김해시 진영읍 본산리 811","경상남도 김해시 진영읍 본산리 811",35.2693107676,128.4797713577,259,"기타 금속 가공제품 제조업",25,"금속 가공제품 제조업; 기계 및 가구 제외",32629.5794912918,NA,0
"(주)HS그라비아",NA,18119,"포장지","수지","GSN","소기업",3,8,"경상남도 김해시 상동면 상동로 305","경상남도 김해시 상동면 우계리 720-1",35.3617732594,129.0427961335,181,"인쇄 및 인쇄관련 산업",18,"인쇄 및 기록매체 복제업",25119.6072219478,NA,0
"(주)JY산업",NA,31114,"선박구성품","파이프","GSN","소기업",3,4,"경상남도 김해시 한림면 안하로4번길 16-51","경상남도 김해시 한림면 안하리 464-10",35.2426264457,128.624209378,311,"선박 및 보트 건조업",31,"기타 운송장비 제조업",19172.6129286649,NA,0
"(주)KITT",NA,31114,"선박부품","철판","GSN","소기업",3,7,"경상남도 김해시 김해대로2694번길 31 (지내동)","경상남도 김해시 지내동 195-6",35.3206960931,128.5434959853,311,"선박 및 보트 건조업",31,"기타 운송장비 제조업",28750.3387245625,NA,0
"(주)MS로얄코리아",NA,25113,"금속제품",NA,"GSN","소기업",3,10,"경상남도 김해시 한림면 김해대로1031번길 106-48","경상남도 김해시 한림면 퇴래리 910",35.2209885303,128.855635282,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",25,"금속 가공제품 제조업; 기계 및 가구 제외",2225.47996151073,NA,0
"(주)MS이엔지진영공장",NA,29132,"가스콤프레샤","철재","GSN","소기업",3,20,"경상남도 김해시 한림면 한림로 1029 (총 6 필지)","경상남도 김해시 한림면 가산리 347-2",35.2273139452,128.9148996405,291,"일반 목적용 기계 제조업",29,"기타 기계 및 장비 제조업",7647.18409456617,NA,0
"(주)SC ISP","김해안하농공단지",29150,"오븐,노,버너","형강류,플레이트","GSN","소기업",3,8,"경상남도 김해시 한림면 용덕로302번길 56","경상남도 김해시 한림면 안하리 2001-7",35.302230979,128.8143731918,291,"일반 목적용 기계 제조업",29,"기타 기계 및 장비 제조업",9775.00318246452,NA,0
"(주)SM마블",NA,23911,"대리석","수지","GSN","소기업",3,5,"경상남도 김해시 생림면 나전로161번길 160","경상남도 김해시 생림면 나전리 549-7",35.2383283844,128.8419837189,239,"기타 비금속 광물제품 제조업",23,"비금속 광물제품 제조업",2701.7427285467,NA,0
"(주)SY가스",NA,20121,"산소,질소,알곤,암모니아","탄산가스,에틸렌","GSN","소기업",3,14,"경상남도 김해시 대청계곡길 65-23 (대청동)","경상남도 김해시 대청동 834-1",35.2893696151,128.8273936911,201,"기초 화학물질 제조업",20,"화학 물질 및 화학제품 제조업; 의약품 제외",8224.38974141354,NA,0
"(주)WIDO",NA,22212,"KPO150",NA,"GSN","소기업",3,9,"경상남도 김해시 진례면 고모로526번길 37","경상남도 김해시 진례면 고모리 676",35.2619641529,128.7734432704,222,"플라스틱 제품 제조업",22,"고무 및 플라스틱제품 제조업",7438.81898852971,NA,0
"(주)가산기업",NA,22299,"자동차부품(사출성형)",NA,"GSN","소기업",3,15,"경상남도 김해시 진영읍 하계로 207","경상남도 김해시 진영읍 하계리 364-7",35.205624298,128.6637527703,222,"플라스틱 제품 제조업",22,"고무 및 플라스틱제품 제조업",15373.7504030825,NA,0
"(주)가야선광",NA,29131,"액체펌프",NA,"GSN","소기업",3,6,"경상남도 김해시 주촌면 서부로1499번길 46","경상남도 김해시 주촌면 내삼리 941",35.2331598081,128.8144307894,291,"일반 목적용 기계 제조업",29,"기타 기계 및 장비 제조업",2553.02298744343,NA,0
"(주)가오스",NA,30399,"자동차부품",NA,"GSN","소기업",3,7,"경상남도 김해시 생림면 생림대로 626","경상남도 김해시 생림면 사촌리 417",35.1188896602,128.1013946871,303,"자동차 신품 부품 제조업",30,"자동차 및 트레일러 제조업",67430.431600951,NA,0
"(주)가온-1공장",NA,29299,"자동화설비",NA,"GSN","소기업",3,10,"경상남도 김해시 생림면 인제로 740-1","경상남도 김해시 생림면 나전리 383",35.2792410921,128.5164291537,292,"특수 목적용 기계 제조업",29,"기타 기계 및 장비 제조업",29598.7553332812,NA,0
"(주)가온-2공장",NA,29299,"자동화설비",NA,"GSN","소기업",3,10,"경상남도 김해시 생림면 인제로 740-2","경상남도 김해시 생림면 나전리 383-8",35.2938783816,128.888882589,292,"특수 목적용 기계 제조업",29,"기타 기계 및 장비 제조업",10126.4882852363,NA,0
"(주)가온-3공장",NA,29299,"자동화기계",NA,"GSN","소기업",3,10,"경상남도 김해시 생림면 인제로 740-3","경상남도 김해시 생림면 나전리 378",35.3477079795,128.5071720092,292,"특수 목적용 기계 제조업",29,"기타 기계 및 장비 제조업",33013.4008169736,NA,0
"(주)가원기계",NA,25112,"스프레이,무스","철자재","GSN","소기업",3,12,"경상남도 김해시 지내동 5B-25L","경상남도 김해시 지내동 5B-25L",35.377213702,129.0255894348,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",25,"금속 가공제품 제조업; 기계 및 가구 제외",25139.6936879224,NA,0
"(주)가인이엔지",NA,29193,"소화기","분말소화기","GSN","소기업",3,5,"경상남도 김해시 생림면 생림대로950번길 13","경상남도 김해시 생림면 봉림리 949-1",35.3476815313,128.7215329232,291,"일반 목적용 기계 제조업",29,"기타 기계 및 장비 제조업",17801.5646773034,NA,0
"(주)갑신RUBBER",NA,22199,"실리콘",NA,"GSN","소기업",3,10,"경상남도 김해시 주촌면 서부로1541번길 126","경상남도 김해시 주촌면 내삼리 328-2",35.3698704601,128.4786274184,221,"고무제품 제조업",22,"고무 및 플라스틱제품 제조업",36444.0974200732,NA,0
"(주)갑일오피스","김해나전농공단지",32091,"캐비냇","철재류","GSN","소기업",3,15,"경상남도 김해시 생림면 나전로161번길 149, 나전농공단지내","경상남도 김해시 생림면 나전리 700",35.2144715064,128.6473076404,320,"가구 제조업",32,"가구 제조업",16832.6451151243,NA,0
"(주)강동합판",NA,32029,"코팅용합판",NA,"GSN","소기업",3,7,"경상남도 김해시 진례면 서부로396번길 57","경상남도 김해시 진례면 청천리 414",35.545069726,128.252849583,320,"가구 제조업",32,"가구 제조업",64103.2556042668,NA,0
"(주)강명산업사",NA,19221,"윤할유","폐윤할류","GSN","소기업",3,9,"경상남도 김해시 김해대로1685번길 13 (삼계동)","경상남도 김해시 삼계동 1209-1",35.2714171922,128.7546773996,192,"석유 정제품 제조업",19,"코크스, 연탄 및 석유정제품 제조업",9405.38202497963,NA,0
"(주)강성포장",NA,17221,"지대(크라프트지포대)","지대","GSN","소기업",3,30,"경상남도 김해시 생림면 나전로 207","경상남도 김해시 생림면 나전리 659-0",34.8141664976,128.6701488183,172,"골판지, 종이 상자 및 종이 용기 제조업",17,"펄프, 종이 및 종이제품 제조업",46899.5966417539,NA,0
"(주)강양HTS",NA,27219,"시험검사장비,세정집진장치","철재","GSN","소기업",3,5,"경상남도 김해시 한림면 가산로 52-16","경상남도 김해시 한림면 가산리 678",35.3138799633,128.5041171811,272,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외",27,"의료, 정밀, 광학 기기 및 시계 제조업",31790.2792624621,NA,0
"(주)강진테크",NA,25924,"열교환기,프레임가공조립",NA,"GSN","소기업",3,14,"경상남도 김해시 진영읍 본산2로79번길 14","경상남도 김해시 진영읍 본산리 313-11",35.194565394,128.6915667984,259,"기타 금속 가공제품 제조업",25,"금속 가공제품 제조업; 기계 및 가구 제외",13010.039978105,NA,0
"(주)강호산업",NA,25994,"도로표지판","금속","GSN","소기업",3,3,"경상남도 김해시 한림면 김해대로927번길 177-1 (총 2 필지)","경상남도 김해시 한림면 퇴래리 704-1",35.2420456525,128.6228088148,259,"기타 금속 가공제품 제조업",25,"금속 가공제품 제조업; 기계 및 가구 제외",19288.5875598197,NA,0
"(주)개방",NA,29294,"트리밍 포밍","금속","GSN","소기업",3,5,"경상남도 김해시 수가로194번길 59-20","경상남도 김해시 장유동 75",35.4427752809,129.0351672571,292,"특수 목적용 기계 제조업",29,"기타 기계 및 장비 제조업",31261.9985772262,NA,0
"(주)개원산업 농업회사법인",NA,20312,"비료","톱밥등","GSN","소기업",3,6,"경상남도 김해시 상동면 동북로437번길 138-14","경상남도 김해시 상동면 매리 542-3",35.4320074244,128.4861582412,203,"비료, 농약 및 살균ㆍ살충제 제조업",20,"화학 물질 및 화학제품 제조업; 의약품 제외",39594.5954448022,NA,0
"(주)거도산업",NA,33910,"표지판,조립구","철물,알루미늄","GSN","소기업",3,21,"경상남도 김해시 김해대로2596번길 91","경상남도 김해시 안동 541-24",35.4325612757,128.4866809985,339,"그 외 기타 제품 제조업",33,"기타 제품 제조업",39594.1220081421,NA,0
"(주)거림",NA,25122,"금속탱크용기 사출기베드","철재","GSN","소기업",3,7,"경상남도 김해시 분성로557번길 33 (어방동)","경상남도 김해시 어방동 1061-11",35.205624298,128.6637527703,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",25,"금속 가공제품 제조업; 기계 및 가구 제외",15373.7504030825,NA,0
"(주)거림중공업",NA,29199,"조선기자재",NA,"GSN","소기업",3,15,"경상남도 김해시 한림면 김해대로 1206","경상남도 김해시 한림면 명동리 998",35.3884646801,129.015804714,291,"일반 목적용 기계 제조업",29,"기타 기계 및 장비 제조업",25452.6398536476,NA,0
"(주)거산기계",NA,29242,"크라샤","철판 및 철재","GSN","소기업",3,6,"경상남도 김해시 진영읍 본산로 277","경상남도 김해시 진영읍 본산리 311-9",35.4330851038,129.1574886863,292,"특수 목적용 기계 제조업",29,"기타 기계 및 장비 제조업",38190.6180929598,NA,0
"(주)거산엔지니어링",NA,25112,"판넬",NA,"GSN","소기업",3,10,"경상남도 김해시 한림면 김해대로1288번길 34","경상남도 김해시 한림면 명동리 811-1",35.2165276528,128.8096043024,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",25,"금속 가공제품 제조업; 기계 및 가구 제외",2059.61394854365,NA,0
"(주)거산피앤에프",NA,25113,"발전배관 Spool",NA,"GSN","소기업",3,5,"경상남도 김해시 한림면 안하로116번길 52","경상남도 김해시 한림면 안하리 244-11",35.1230015958,128.1073408593,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",25,"금속 가공제품 제조업; 기계 및 가구 제외",66822.5484533123,NA,0
"(주)거성중공업",NA,31114,"조선기자재",NA,"GSN","소기업",3,27,"경상남도 김해시 진례면 고모로364번길 74-34","경상남도 김해시 진례면 담안리 499-5",35.3372258429,128.8491623859,311,"선박 및 보트 건조업",31,"기타 운송장비 제조업",13610.3099828154,NA,0
"(주)거성플랜트",NA,24119,"산업기계",NA,"GSN","소기업",3,10,"경상남도 김해시 생림면 장재로 293-1","경상남도 김해시 생림면 생림리 778",35.2379210697,128.6391393374,241,"1차 철강 제조업",24,"1차 금속 제조업",17751.1732737438,NA,0
"(주)거성피앤텍",NA,17212,"골판지 상자","골판지 원단","GSN","소기업",3,32,"경상남도 김해시 주촌면 서부로1403번길 53","경상남도 김해시 주촌면 내삼리 1312",35.4227514185,129.0601574313,172,"골판지, 종이 상자 및 종이 용기 제조업",17,"펄프, 종이 및 종이제품 제조업",30972.0833972911,NA,0
"(주)거진","김해테크노밸리일반산업단지",25929,"금속가공외","금속가공","GSN","소기업",3,10,"경상남도 김해시 진례면 테크노밸리로 65","경상남도 김해시 진례면 고모리 1571-3",35.3263899765,127.9047726518,259,"기타 금속 가공제품 제조업",25,"금속 가공제품 제조업; 기계 및 가구 제외",85275.6599106584,NA,0
"(주)거진아스콘",NA,23991,"아스콘","모래,자갈,아스팔트","GSN","소기업",3,5,"경상남도 김해시 분성로569번길 34 (어방동)","경상남도 김해시 어방동 1048-7",35.2096593121,128.6512372062,239,"기타 비금속 광물제품 제조업",23,"비금속 광물제품 제조업",16487.1358105782,NA,0
"(주)거창기계",NA,29299,"자동화기계","철판","GSN","소기업",3,3,"경상남도 김해시 상동면 동북로437번길 58-10","경상남도 김해시 상동면 매리 1096-6",35.2281075777,128.9209743293,292,"특수 목적용 기계 제조업",29,"기타 기계 및 장비 제조업",8207.08781784256,NA,0
"(주)건보산업",NA,22229,"LG하이샤시","플라스틱 프로파일","GSN","소기업",3,35,"경상남도 김해시 상동면 상동로 380-11","경상남도 김해시 상동면 우계리 60-1",35.3175777203,128.5397533939,222,"플라스틱 제품 제조업",22,"고무 및 플라스틱제품 제조업",28924.8490459395,NA,0
"(주)건안산업",NA,22223,"하이샤시","샤시철재","GSN","소기업",3,23,"경상남도 김해시 상동면 상동로 122-101 (건안산업)","경상남도 김해시 상동면 우계리 1066-4",34.7877600649,128.051994979,222,"플라스틱 제품 제조업",22,"고무 및 플라스틱제품 제조업",85571.3221509568,NA,0
"(주)건양메탈",NA,24219,"재생용비금속가공원료","페아연","GSN","소기업",3,10,"경상남도 김해시 한림면 김해대로916번길 54-27","경상남도 김해시 한림면 병동리 1045",35.2354156966,128.7677507452,242,"1차 비철금속 제조업",24,"1차 금속 제조업",6273.92726219557,NA,0
"(주)건영금속",NA,24199,"철판절단품",NA,"GSN","소기업",3,6,"경상남도 김해시 주촌면 서부로1295번길 37","경상남도 김해시 주촌면 양동리 288-3",35.323426697,128.7475890887,241,"1차 철강 제조업",24,"1차 금속 제조업",14248.9241429705,NA,0
"(주)게이트(GATE CO.,Ltd)",NA,25924,"기계컨버류","철재","GSN","소기업",3,20,"경상남도 김해시 한림면 명동로 62-19","경상남도 김해시 한림면 용덕리 267",35.3181927583,128.2468948453,259,"기타 금속 가공제품 제조업",25,"금속 가공제품 제조업; 기계 및 가구 제외",54464.2082681212,NA,0
"(주)경남밴드",NA,24131,"관이음쇠",NA,"GSN","소기업",3,11,"경상남도 김해시 상동면 매리 924","경상남도 김해시 상동면 매리 924",35.2192551799,128.5956729202,241,"1차 철강 제조업",24,"1차 금속 제조업",21537.3876380422,NA,0
"(주)경남알씨",NA,22212,"플라스틱시트",NA,"GSN","소기업",3,5,"경상남도 김해시 한림면 용덕로237번길 89","경상남도 김해시 한림면 용덕리 575",35.2114468,128.6458775084,222,"플라스틱 제품 제조업",22,"고무 및 플라스틱제품 제조업",16968.401518694,NA,0
"(주)경도상사",NA,14192,"산업안전복,신발",NA,"GSN","소기업",3,29,"경상남도 김해시 분성로557번길 27 (어방동)","경상남도 김해시 어방동 1061-10",35.1717087915,128.1218179337,141,"봉제의복 제조업",14,"의복, 의복 액세서리 및 모피제품 제조업",64875.2867188573,NA,0
"(주)경동기계",NA,25113,"금속조립구조재","금속","GSN","소기업",3,18,"경상남도 김해시 진례면 진례로 127","경상남도 김해시 진례면 초전리 795-10",35.2465120973,128.6131398211,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",25,"금속 가공제품 제조업; 기계 및 가구 제외",20237.0182429359,NA,0
"(주)경동기계",NA,25113,"구조재","철재","GSN","소기업",3,18,"경상남도 김해시 진례면 진례로 127","경상남도 김해시 진례면 초전리 791-3",35.2101445695,128.6505075776,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",25,"금속 가공제품 제조업; 기계 및 가구 제외",16551.5084574427,NA,0
"(주)경동기계",NA,29133,"유압,스프링행거",NA,"GSN","소기업",3,18,"경상남도 김해시 진례면 진례로 129","경상남도 김해시 진례면 초전리 796-3",35.247743589,128.6214487031,291,"일반 목적용 기계 제조업",29,"기타 기계 및 장비 제조업",19516.7648452585,NA,0
"(주)경동기공",NA,30399,"자동차부품","금속(철)","GSN","소기업",3,18,"경상남도 김해시 진영읍 하계로 232-27","경상남도 김해시 진영읍 하계리 196-5",35.3491436791,128.1675552565,303,"자동차 신품 부품 제조업",30,"자동차 및 트레일러 제조업",62258.7273990994,NA,0
"(주)경동냉열산업",NA,29171,"열교환기,공기조화기,팬코일유닛,냉각탑등","철판","GSN","소기업",3,48,"경상남도 김해시 진영읍 서부로396번길 30-22","경상남도 김해시 진영읍 의전리 344-3",35.2885025112,128.7725530378,291,"일반 목적용 기계 제조업",29,"기타 기계 및 장비 제조업",9763.52220094547,NA,0
"(주)경동냉열산업",NA,29172,"공기조화장치",NA,"GSN","소기업",3,8,"경상남도 김해시 진영읍 서부로396번길 30-25","경상남도 김해시 진영읍 의전리 343",35.2880016011,128.7736303559,291,"일반 목적용 기계 제조업",29,"기타 기계 및 장비 제조업",9662.97219121603,NA,0
"(주)경동냉열산업",NA,29172,"공기 조화장치",NA,"GSN","소기업",3,20,"경상남도 김해시 진영읍 서부로396번길 20-57","경상남도 김해시 진영읍 의전리 329",35.2952151498,128.3979969486,291,"일반 목적용 기계 제조업",29,"기타 기계 및 장비 제조업",40493.6798187531,NA,0
"(주)경동유리제경사",NA,23112,"안전유리 등","판유리","GSN","소기업",3,4,"경상남도 김해시 생림면 나전로 276, 아동 1층","경상남도 김해시 생림면 나전리 730-7",35.3150995149,128.7553547064,231,"유리 및 유리제품 제조업",23,"비금속 광물제품 제조업",13090.3041930576,NA,0
"(주)경방",NA,29173,"인터날","SVS","GSN","중기업",2,10,"경상남도 김해시 주촌면 서부로1701번안길 58-135","경상남도 김해시 주촌면 선지리 92-1",35.155330433,128.6813840056,291,"일반 목적용 기계 제조업",29,"기타 기계 및 장비 제조업",15263.4483078761,NA,0
"(주)경방",NA,29175,"증류기,정제기",NA,"GSN","소기업",3,10,"경상남도 김해시 주촌면 서부로1331번길 36","경상남도 김해시 주촌면 양동리 194",35.1277555712,128.7861438081,291,"일반 목적용 기계 제조업",29,"기타 기계 및 장비 제조업",10583.6521518281,NA,0
"(주)경부건업",NA,23112,"복층유리","유리","GSN","소기업",3,27,"경상남도 김해시 한림면 한림로 915","경상남도 김해시 한림면 가산리 52-3",35.1600087541,128.6818350907,231,"유리 및 유리제품 제조업",23,"비금속 광물제품 제조업",15006.435819527,NA,0
"(주)경부건업",NA,23112,"복층유리",NA,"GSN","소기업",3,18,"경상남도 김해시 생림면 생림대로713번길 52","경상남도 김해시 생림면 봉림리 358-1",35.2589497567,128.183183014,231,"유리 및 유리제품 제조업",23,"비금속 광물제품 제조업",59271.9236954766,NA,0
"(주)경성테크",NA,30399,"세탁기부품","플라스틱","GSN","소기업",3,45,"경상남도 김해시 한림면 가산로 26-32 (총 3 필지)","경상남도 김해시 한림면 가산리 651-3",35.2796387322,128.5199460714,303,"자동차 신품 부품 제조업",30,"자동차 및 트레일러 제조업",29298.7304870889,NA,0
"(주)경성하이테크",NA,28123,"배전반,사출품",NA,"GSN","소기업",3,10,"경상남도 김해시 한림면 김해대로 1102-20","경상남도 김해시 한림면 명동리 1177-1",35.2476097651,128.7750704079,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",28,"전기장비 제조업",6311.96465704268,NA,0
"(주)경신공영",NA,25111,"창호",NA,"GSN","소기업",3,13,"경상남도 김해시 진례면 진례로311번길 27 (총 3 필지)","경상남도 김해시 진례면 시례리 448-5",35.205624298,128.6637527703,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",25,"금속 가공제품 제조업; 기계 및 가구 제외",15373.7504030825,NA,0
"(주)경신공영",NA,22229,"건축용품","목재","GSN","소기업",3,16,"경상남도 김해시 주촌면 소망길 48-21","경상남도 김해시 주촌면 망덕리 581-16",35.2067854264,128.6359750879,222,"플라스틱 제품 제조업",22,"고무 및 플라스틱제품 제조업",17890.2369525441,NA,0
"(주)경신이티엠",NA,31114,"산업기계","철판,탄소강","GSN","소기업",3,12,"경상남도 김해시 한림면 김해대로927번길 259-1","경상남도 김해시 한림면 퇴래리 60-1",35.2070110075,128.6341800129,311,"선박 및 보트 건조업",31,"기타 운송장비 제조업",18052.1320158953,NA,0
"(주)경영사",NA,29222,"공작기계판금부품","철판","GSN","소기업",3,32,"경상남도 김해시 진영읍 서부로38번길 93-26","경상남도 김해시 진영읍 내룡리 160-1",35.2163009929,128.5970491022,292,"특수 목적용 기계 제조업",29,"기타 기계 및 장비 제조업",21408.3700926677,NA,0
"(주)경용중공업",NA,25113,"구조재","철판","GSN","소기업",3,25,"경상남도 김해시 진영읍 본산2로 57","경상남도 김해시 진영읍 본산리 316-13",35.1971519472,128.6941671469,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",25,"금속 가공제품 제조업; 기계 및 가구 제외",12728.2279782071,NA,0
"(주)경용중공업제3공장",NA,31114,"선박부품",NA,"GSN","소기업",3,10,"경상남도 김해시 한림면 장방로 210","경상남도 김해시 한림면 장방리 978-2",35.2854574593,128.3056334309,311,"선박 및 보트 건조업",31,"기타 운송장비 제조업",48547.7253615348,NA,0
"(주)경원",NA,25991,"금속탱크","철제","GSN","소기업",3,30,"경상남도 김해시 진례면 고모로 596-27","경상남도 김해시 진례면 고모리 133",35.2379210697,128.6391393374,259,"기타 금속 가공제품 제조업",25,"금속 가공제품 제조업; 기계 및 가구 제외",17751.1732737438,NA,0
"(주)경원테크","김해테크노밸리일반산업단지",30399,"도어트림 및 선바이져 외","사출물 및 PVC","GSN","소기업",3,40,"경상남도 김해시 진례면 테크노밸리1로 71","경상남도 김해시 진례면 고모리 1111-11",35.209104751,128.6407748875,303,"자동차 신품 부품 제조업",30,"자동차 및 트레일러 제조업",17441.4789813229,NA,0
