"소재지","업종명","화학물질노출근무자수"
"경기","목재및나무제품제조업",1
"경기","식료품제조업",1
"경기","화학제품제조업",15
"경기","식료품제조업",0
"경기","기타제조업",6
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",8
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","도자기ㆍ기타요업제품ㆍ시멘트제조업",0
"경기","식료품제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","목재및나무제품제조업",0
"경기","식료품제조업",0
"서울","도자기ㆍ기타요업제품ㆍ시멘트제조업",11
"경기","식료품제조업",10
"경기","기타제조업",0
"경기","펄프ㆍ지류제조업",1
"경기","의약품ㆍ화장품향료ㆍ담배제조업",2
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","화학제품제조업",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",1
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","섬유또는섬유제품제조업(을)",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",6
"경기","화학제품제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","화학제품제조업",18
"경기","수송용기계기구제조업ㆍ자동차및모터사이클수리업",15
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",4
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",3
"경기","수송용기계기구제조업ㆍ자동차및모터사이클수리업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","목재및나무제품제조업",0
"경기","화학제품제조업",0
"경기","수송용기계기구제조업ㆍ자동차및모터사이클수리업",10
"경기","화학제품제조업",2
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",13
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",1
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","도금업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",4
"경기","도자기ㆍ기타요업제품ㆍ시멘트제조업",0
"경기","도자기ㆍ기타요업제품ㆍ시멘트제조업",0
"경기","화학제품제조업",3
"경기","펄프ㆍ지류제조업",0
"경기","식료품제조업",11
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","화학제품제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",32
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",19
"경기","화학제품제조업",0
"경기","화학제품제조업",3
"경기","섬유또는섬유제품제조업(을)",18
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",4
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",6
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","유리제조업",8
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","화학제품제조업",16
"경기","기타제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",1
"경기","의약품ㆍ화장품향료ㆍ담배제조업",18
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",40
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",10
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",300
"경기","화학제품제조업",0
"경기","도자기ㆍ기타요업제품ㆍ시멘트제조업",6
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","식료품제조업",0
"경기","화학제품제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",12
"경기","수제품제조업",4
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",12
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",17
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",6
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",10
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","식료품제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",4
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","식료품제조업",1
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","식료품제조업",1
"경기","식료품제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",10
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",14
"경기","화학제품제조업",0
"경기","의약품ㆍ화장품향료ㆍ담배제조업",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",3
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","수송용기계기구제조업ㆍ자동차및모터사이클수리업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",4
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",40
"경기","수제품제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",13
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","식료품제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",20
"경기","의약품ㆍ화장품향료ㆍ담배제조업",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",10
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",76
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",20
"경기","화학제품제조업",38
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",162
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","의약품ㆍ화장품향료ㆍ담배제조업",4
"경기","섬유또는섬유제품제조업(을)",76
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",164
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",5
"경기","수송용기계기구제조업ㆍ자동차및모터사이클수리업",255
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",20
"경기","의약품ㆍ화장품향료ㆍ담배제조업",156
"경기","식료품제조업",1015
"경기","고무제품제조업",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",25
"경기","화학제품제조업",167
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",67
"경기","섬유또는섬유제품제조업(을)",119
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",40
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",41
"경기","고무제품제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",50
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",14
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",10
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",35
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",15
"경기","펄프ㆍ지류제조업",30
"경기","의약품ㆍ화장품향료ㆍ담배제조업",7
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",7
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",50
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",15
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",4
"경기","도금업",1
"경기","유리제조업",7
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",5
"경기","화학제품제조업",80
"경기","섬유또는섬유제품제조업(을)",80
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",80
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",3
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","수송용기계기구제조업ㆍ자동차및모터사이클수리업",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",3
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",2
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",98
"경기","목재및나무제품제조업",0
"경기","도금업",2
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","화학제품제조업",0
"경기","의약품ㆍ화장품향료ㆍ담배제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",4
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",66
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",76
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","식료품제조업",0
"경기","수송용기계기구제조업ㆍ자동차및모터사이클수리업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",89
"경기","의약품ㆍ화장품향료ㆍ담배제조업",80
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",43
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",20
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","의약품ㆍ화장품향료ㆍ담배제조업",50
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",100
"경기","화학제품제조업",60
"경기","식료품제조업",0
"경기","의약품ㆍ화장품향료ㆍ담배제조업",7
"경기","식료품제조업",0
"경기","수송용기계기구제조업ㆍ자동차및모터사이클수리업",4
"경기","의약품ㆍ화장품향료ㆍ담배제조업",3
"경기","수송용기계기구제조업ㆍ자동차및모터사이클수리업",12
"경기","식료품제조업",4
"경기","의약품ㆍ화장품향료ㆍ담배제조업",25
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",80
"경기","펄프ㆍ지류제조업",48
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",150
"경기","수송용기계기구제조업ㆍ자동차및모터사이클수리업",20
"경기","식료품제조업",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",46
"경기","화학제품제조업",42
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",42
"경기","섬유또는섬유제품제조업(을)",47
"경기","화학제품제조업",0
"경기","식료품제조업",1
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","섬유또는섬유제품제조업(을)",8
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","도자기ㆍ기타요업제품ㆍ시멘트제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",3
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",2
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","의약품ㆍ화장품향료ㆍ담배제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",7
"경기","화학제품제조업",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",15
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",30
"경기","수제품제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","섬유또는섬유제품제조업(을)",15
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","섬유또는섬유제품제조업(을)",40
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",4
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","화학제품제조업",16
"경기","화학제품제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","섬유또는섬유제품제조업(을)",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","식료품제조업",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","목재및나무제품제조업",0
"경기","도자기ㆍ기타요업제품ㆍ시멘트제조업",0
"경기","의약품ㆍ화장품향료ㆍ담배제조업",53
"경기","수송용기계기구제조업ㆍ자동차및모터사이클수리업",5
"경기","의약품ㆍ화장품향료ㆍ담배제조업",5
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",10
"경기","의약품ㆍ화장품향료ㆍ담배제조업",50
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",30
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","식료품제조업",0
"경기","식료품제조업",0
"경기","식료품제조업",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","펄프ㆍ지류제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","의약품ㆍ화장품향료ㆍ담배제조업",30
"경기","기타제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",1
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","화학제품제조업",0
"경기","화학제품제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","화학제품제조업",3
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","식료품제조업",0
"경기","수송용기계기구제조업ㆍ자동차및모터사이클수리업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","의약품ㆍ화장품향료ㆍ담배제조업",30
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",15
"경기","수제품제조업",50
"경기","의약품ㆍ화장품향료ㆍ담배제조업",0
"경기","화학제품제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",13
"경기","식료품제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",1
"경기","식료품제조업",0
"경기","수송용기계기구제조업ㆍ자동차및모터사이클수리업",2
"경기","식료품제조업",0
"경기","도자기ㆍ기타요업제품ㆍ시멘트제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",16
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",8
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","식료품제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",6
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",2
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","식료품제조업",0
"경기","유리제조업",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",5
"경기","화학제품제조업",10
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","화학제품제조업",30
"경기","목재및나무제품제조업",0
"경기","유리제조업",0
"경기","식료품제조업",0
"경기","의약품ㆍ화장품향료ㆍ담배제조업",2
"경기","식료품제조업",0
"경기","화학제품제조업",0
"경기","화학제품제조업",4
"경기","식료품제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",40
"경기","펄프ㆍ지류제조업",0
"경기","목재및나무제품제조업",3
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",2
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",15
"경기","유리제조업",0
"경기","식료품제조업",0
"경기","펄프ㆍ지류제조업",0
"경기","고무제품제조업",3
"경기","식료품제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","화학제품제조업",13
"경기","화학제품제조업",75
"경기","펄프ㆍ지류제조업",12
"경기","의약품ㆍ화장품향료ㆍ담배제조업",10
"경기","식료품제조업",30
"경기","펄프ㆍ지류제조업",2
"경기","수송용기계기구제조업ㆍ자동차및모터사이클수리업",0
"경기","화학제품제조업",25
"경기","식료품제조업",25
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
"경기","전기기계기구ㆍ전자제품ㆍ계량기ㆍ광학기계ㆍ기타정밀기구제조업",0
"경기","기계기구ㆍ비금속광물제품ㆍ금속제품제조업또는금속가공업",0
